nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000506	Julia Louis-Dreyfus	1961	null	actress,producer,soundtrack	tt1759761,tt0098904,tt2390361,tt0462128
nm0000507	Rob Lowe	1964	null	actor,producer,soundtrack	tt1291580,tt0086066,tt0105793,tt0090060
nm0000508	Carey Lowell	1961	null	actress	tt0098844,tt0113627,tt0108160,tt0097742
nm0000509	Bela Lugosi	1882	1956	actor,costume_department,soundtrack	tt0024188,tt0024894,tt0034786,tt0021814
nm0000510	Andie MacDowell	1958	null	actress,producer,soundtrack	tt0098724,tt0102070,tt0107048,tt0109831
nm0000511	Shirley MacLaine	1934	null	actress,soundtrack,writer	tt0098384,tt0053604,tt0048750,tt0086425
nm0000512	Elle Macpherson	1964	null	producer,actress	tt0118688,tt0119051,tt0111201,tt0117057
nm0000513	William H. Macy	1950	null	actor,writer,soundtrack	tt0175880,tt1586680,tt0116282,tt0118749
nm0000514	Michael Madsen	1957	null	actor,producer,writer	tt0105236,tt3460252,tt0266697,tt0114508
nm0000515	Virginia Madsen	1961	null	actress,producer,soundtrack	tt0492044,tt0375063,tt0114194,tt0103919
nm0000516	Lee Majors	1939	null	actor,music_department,producer	tt0071054,tt0058791,tt0081859,tt0096061
nm0000517	Terrence Malick	1943	null	producer,writer,director	tt0069762,tt0077405,tt0478304,tt0120863
nm0000518	John Malkovich	1953	null	actor,producer,writer	tt0107206,tt1245526,tt0120601,tt0094947
nm0000519	David Mamet	1947	null	writer,producer,director	tt0104348,tt0093223,tt0120202,tt0120885
nm0000520	Michael Mann	1943	null	producer,writer,director	tt0091474,tt0104691,tt0140352,tt0369339
nm0000521	Sophie Marceau	1966	null	actress,director,writer	tt0112573,tt1194616,tt0082100,tt0143145
nm0000522	Vanessa Marcil	1968	null	actress	tt0117500,tt0364828,tt0098749,tt0056758
nm0000523	Julianna Margulies	1966	null	actress,producer,soundtrack	tt0108757,tt0288477,tt1174730,tt0417148
nm0000524	Mary Stuart Masterson	1966	null	actress,producer,director	tt0106387,tt0109198,tt0101921,tt0094006
nm0000525	Heather Matarazzo	1982	null	actress,producer,director	tt0247638,tt0114906,tt0498353,tt0120577
nm0000526	Samantha Mathis	1970	null	actress,executive,soundtrack	tt0100436,tt0144084,tt0115759,tt0108255
nm0000527	Walter Matthau	1920	2000	actor,soundtrack,director	tt0056923,tt0060424,tt0063374,tt0072251
nm0000528	Mathilda May	1965	null	actress,miscellaneous,soundtrack	tt0089489,tt0092797,tt0119395,tt0102130
nm0000529	Debi Mazar	1964	null	actress,make_up_department,producer	tt0106375,tt0112950,tt0387199,tt0140352
nm0000530	Andrew McCarthy	1962	null	actor,director,producer	tt2741602,tt2372162,tt0098627,tt0091790
nm0000531	Frances McDormand	1957	null	actress,producer,soundtrack	tt0181875,tt0116282,tt5027774,tt1748122
nm0000532	Malcolm McDowell	1943	null	actor,producer,soundtrack	tt0066921,tt0111280,tt0080025,tt0373883
nm0000533	Gates McFadden	1949	null	actress,producer,miscellaneous	tt0092455,tt0091369,tt8806524,tt0112060
nm0000534	Kelly McGillis	1957	null	actress,producer,soundtrack	tt0092099,tt0094608,tt1464580,tt0090329
nm0000535	Rose McGowan	1973	null	actress,soundtrack,producer	tt0155776,tt1077258,tt0462322,tt0158552
nm0000536	Robert Duncan McNeill	1964	null	actor,producer,director	tt0934814,tt0387054,tt0093507,tt0112178
nm0000537	Steve McQueen	1930	1980	actor,producer,soundtrack	tt0063688,tt0054047,tt0057115,tt0070511
nm0000538	Colm Meaney	1953	null	actor,producer,soundtrack	tt0105690,tt0118880,tt0375912,tt0106145
nm0000539	Dina Meyer	1968	null	actress,producer	tt0120201,tt0387564,tt0113481,tt0253754
nm0000540	Russ Meyer	1922	2004	director,cinematographer,producer	tt0054859,tt0078846,tt0059170,tt0075376
nm0000541	Bette Midler	1945	null	soundtrack,actress,producer	tt0091877,tt0116313,tt0107120,tt0094715
nm0000542	Penelope Ann Miller	1964	null	actress,soundtrack	tt0106519,tt0099615,tt0099938,tt1655442
nm0000543	Sal Mineo	1939	1976	actor,soundtrack,music_department	tt0048545,tt0049261,tt0053804,tt0067065
nm0000544	Carmen Miranda	1909	1955	soundtrack,actress,miscellaneous	tt0039277,tt0040271,tt0036881,tt0035916
nm0000545	Helen Mirren	1945	null	actress,producer,director	tt0436697,tt0280707,tt0975645,tt1245526
nm0000546	Matthew Modine	1959	null	actor,producer,director	tt1345836,tt2932536,tt0112760,tt0093058
nm0000547	Alfred Molina	1953	null	actor,producer,soundtrack	tt0316654,tt0175880,tt0120679,tt0118749
nm0000548	Elizabeth Montgomery	1933	1995	actress,soundtrack,miscellaneous	tt0057733,tt0073273,tt0076981,tt0071868
nm0000549	Roger Moore	1927	2017	actor,miscellaneous,producer	tt0079574,tt0070328,tt0082398,tt0076752
nm0000550	Kate Mulgrew	1955	null	actress,producer,writer	tt0089901,tt0253754,tt2372162,tt0112178
nm0000551	Dermot Mulroney	1963	null	actor,soundtrack,music_department	tt1322269,tt0356680,tt0119738,tt0096487
nm0000552	Eddie Murphy	1961	null	actor,writer,producer	tt0094898,tt0117218,tt0126029,tt0443489
nm0000553	Liam Neeson	1952	null	actor,producer,soundtrack	tt0362269,tt0108052,tt1601913,tt0429493
nm0000554	Sam Neill	1947	null	actor,producer,director	tt0163025,tt4698684,tt0107290,tt0107822
nm0000555	Judd Nelson	1959	null	actor,writer,producer	tt0102526,tt0092106,tt0088847,tt0090060
nm0000556	Olivia Newton-John	1948	2022	music_artist,soundtrack,actress	tt0077631,tt0081777,tt0086494,tt0119094
nm0000557	Brigitte Nielsen	1963	null	actress,soundtrack,producer	tt0089893,tt0092644,tt5073058
nm0000558	Leslie Nielsen	1926	2010	actor,producer,soundtrack	tt0095705,tt0120901,tt0102510,tt0080339
nm0000559	Leonard Nimoy	1931	2015	actor,director,soundtrack	tt0088170,tt0796366,tt0102975,tt0092007
nm0000560	Nick Nolte	1941	null	actor,producer,soundtrack	tt0120863,tt0102713,tt0118564,tt1291584
nm0000561	Peter North	1957	null	actor,director,producer	tt0183057,tt0128316,tt0199096,tt0160323
nm0000562	Jeremy Northam	1961	null	actor,soundtrack	tt0284978,tt0280707,tt0155388,tt0116191
nm0000563	Chris O'Donnell	1970	null	actor,producer,director	tt0108333,tt0105323,tt0190865,tt0118688
nm0000564	Peter O'Toole	1932	2013	actor,soundtrack,producer	tt0056172,tt0332452,tt0063227,tt0081568
nm0000565	Lena Olin	1955	null	actress	tt0241303,tt0096332,tt0285333,tt0107983
nm0000566	Julia Ormond	1965	null	actress,producer	tt0113071,tt1655420,tt0114319,tt0421715
nm0000567	George Orwell	1903	1950	writer	tt1785318,tt0048918,tt0498637,tt0087803
nm0000568	Frank Oz	1944	null	actor,miscellaneous,soundtrack	tt0087755,tt0121765,tt0063951,tt0074028
nm0000569	Gwyneth Paltrow	1972	null	actress,producer,soundtrack	tt1300854,tt0138097,tt0116191,tt0120148
nm0000570	Alan Parker	1944	2020	director,soundtrack,writer	tt0077928,tt0101605,tt0116250,tt0095647
nm0000571	Mary-Louise Parker	1964	null	actress,soundtrack,miscellaneous	tt1245526,tt1821694,tt0439100,tt0790736
nm0000572	Sarah Jessica Parker	1965	null	actress,producer,miscellaneous	tt1000774,tt0159206,tt0356680,tt1261945
nm0000573	Dolly Parton	1946	null	music_artist,soundtrack,music_department	tt0073984,tt0080319,tt0092342,tt0162822
nm0000574	Jason Patric	1966	null	actor,producer	tt0093437,tt0120179,tt0117665,tt0480255
nm0000575	Alexandra Paul	1963	null	actress,producer,writer	tt0117723,tt14112080,tt0092925,tt0085333
nm0000576	Sean Penn	1960	null	actor,director,producer	tt0315733,tt0112818,tt0327056,tt1013753
nm0000577	George Peppard	1928	1994	actor,assistant_director,soundtrack	tt0057917,tt0068663,tt0054698,tt0060177
nm0000578	Anthony Perkins	1932	1992	actor,soundtrack,director	tt0078869,tt0054215,tt0086154,tt0091799
nm0000579	Ron Perlman	1950	null	actor,producer,soundtrack	tt0092319,tt3973768,tt0411477,tt0167190
nm0000580	Luke Perry	1966	2019	actor,producer,soundtrack	tt0098749,tt0103893,tt0119116,tt7131622
nm0000581	Joseph L. Mankiewicz	1909	1993	writer,producer,director	tt0041587,tt0056937,tt0042192,tt0069281
nm0000582	Joe Pesci	1943	null	actor,soundtrack	tt1302006,tt0104952,tt0099685,tt0081398
nm0000583	Wolfgang Petersen	1941	2022	director,writer,producer	tt0089092,tt0114069,tt0082096,tt0088323
nm0000584	Amanda Peterson	1971	2015	actress	tt0092488,tt0092718,tt0083564,tt0089114
nm0000585	Robert Picardo	1953	null	actor,soundtrack,writer	tt0117731,tt0094433,tt0093260,tt0112178
nm0000586	Jada Pinkett Smith	1971	null	producer,actress,writer	tt0120082,tt0234215,tt0242653,tt0369339
nm0000587	Donald Pleasence	1919	1995	actor,writer,soundtrack	tt0082495,tt0077651,tt0057115,tt0062512
nm0000588	Martha Plimpton	1970	null	actress,soundtrack,writer	tt0098067,tt0115639,tt0089218,tt0091557
nm0000589	Eve Plumb	1958	null	actress,soundtrack,producer	tt1595859,tt9278110,tt2359024,tt5037914
nm0000590	Edgar Allan Poe	1809	1849	writer,soundtrack,miscellaneous	tt1772264,tt0024894,tt1663656,tt21321726
nm0000591	Roman Polanski	1933	null	director,actor,writer	tt0071315,tt1139328,tt0074811,tt1692486
nm0000592	Pete Postlethwaite	1946	2011	actor,producer	tt1375666,tt0119567,tt0840361,tt0114814
nm0000593	Kelly Preston	1962	2020	actress,soundtrack	tt0185183,tt0312528,tt0116695,tt0126916
nm0000594	Jason Priestley	1969	null	actor,producer,director	tt2334593,tt1558182,tt0098749,tt5722298
nm0000595	Victoria Principal	1950	null	actress,producer,executive	tt0068853,tt0077000,tt0075393,tt0071455
nm0000596	Jonathan Pryce	1947	null	actor,soundtrack,producer	tt0104348,tt3750872,tt0120347,tt8404614
nm0000597	Bill Pullman	1953	null	actor,director,soundtrack	tt0094012,tt0116629,tt0116922,tt1628841
nm0000598	Dennis Quaid	1954	null	actor,producer,soundtrack	tt0297884,tt0093260,tt0319262,tt0186151
nm0000599	Kathleen Quinlan	1954	null	actress,producer,director	tt0112384,tt0069704,tt0101761,tt0118771
nm0000600	Sam Raimi	1959	null	producer,writer,director	tt0083907,tt0145487,tt0106308,tt0099365
nm0000601	Harold Ramis	1944	2014	writer,actor,producer	tt0478311,tt0087332,tt0083131,tt0107048
nm0000602	Robert Redford	1936	null	producer,actor,director	tt0074119,tt0087781,tt0064115,tt0081283
nm0000603	Vanessa Redgrave	1937	null	actress,soundtrack,producer	tt0783233,tt0892318,tt0104454,tt1372686
nm0000604	John C. Reilly	1965	null	actor,writer,producer	tt0299658,tt0118749,tt0841046,tt2015381
nm0000605	Brad Renfro	1982	2008	actor,soundtrack,writer	tt0112757,tt0117665,tt0118636,tt0109446
nm0000606	Jean Reno	1948	null	actor	tt0095250,tt0110413,tt0383216,tt0122690
nm0000607	Paul Reubens	1952	null	actor,writer,soundtrack	tt0090500,tt0089791,tt0094744,tt0091059
nm0000608	Burt Reynolds	1936	2018	actor,director,producer	tt0076729,tt0118749,tt0068473,tt0117765
nm0000609	Ving Rhames	1959	null	actor,producer,writer	tt0163988,tt2381249,tt0120755,tt0110912
nm0000610	Giovanni Ribisi	1974	null	actor,producer,cinematographer	tt0346156,tt0499549,tt0219699,tt0181984
nm0000611	Ariana Richards	1979	null	actress	tt0100814,tt0259685,tt0119567,tt0107290
nm0000612	Denise Richards	1971	null	actress,producer,soundtrack	tt0143145,tt0120890,tt0120201,tt0314331
nm0000613	Joely Richardson	1965	null	actress,producer,soundtrack	tt0187393,tt0119081,tt1932718,tt0361217
nm0000614	Alan Rickman	1946	2016	actor,soundtrack,writer	tt0095016,tt0408236,tt0177789,tt0102798
nm0000615	John Ritter	1948	2003	actor,producer,soundtrack	tt0117666,tt0307987,tt0100419,tt0075596
nm0000616	Eric Roberts	1956	null	actor,producer,soundtrack	tt0468569,tt1320253,tt1791528,tt0089941
nm0000617	Tanya Roberts	1949	2021	actress,producer	tt0083630,tt0088103,tt0090264,tt0165598
nm0000618	Isabella Rossellini	1952	null	actress,director,writer	tt0104070,tt0090756,tt2316411,tt0106881
nm0000619	Tim Roth	1961	null	actor,producer,soundtrack	tt0133152,tt0110912,tt3460252,tt0114287
nm0000620	Mickey Rourke	1952	null	actor,writer,producer	tt0401792,tt0092563,tt1228705,tt1125849
nm0000621	Kurt Russell	1951	null	actor,producer,soundtrack	tt3460252,tt0116253,tt0116225,tt3896198
nm0000622	Theresa Russell	1957	null	actress,soundtrack,miscellaneous	tt0120890,tt0080408,tt0413300,tt0098093
nm0000623	Rene Russo	1954	null	actress,producer	tt0122151,tt0117438,tt0155267,tt2872718
nm0000624	Laura San Giacomo	1961	null	actress	tt0102744,tt0100405,tt0098724,tt0118364
nm0000625	Fred Savage	1976	null	actor,director,producer	tt0090768,tt0295178,tt0094582,tt0093779
nm0000626	John Sayles	1950	null	writer,actor,director	tt0087004,tt0116905,tt0119657,tt0095082
nm0000627	Greta Scacchi	1960	null	actress	tt0116191,tt0105151,tt0117442,tt0217629
nm0000628	Johnathon Schaech	1969	null	actor,writer,producer	tt0117887,tt11695190,tt0926129,tt0159276
nm0000629	Claudia Schiffer	1970	null	actress,producer	tt2802144,tt0196229,tt0314331,tt0110989
nm0000630	Liev Schreiber	1967	null	actor,producer,miscellaneous	tt1895587,tt0404030,tt0368008,tt0458525
nm0000631	Ridley Scott	1937	null	producer,director,production_designer	tt0083658,tt3659388,tt0103074,tt0172495
nm0000632	Jerry Seinfeld	1954	null	writer,producer,actor	tt0098904,tt0389790,tt12117854,tt2314952
nm0000633	Tom Selleck	1945	null	actor,producer,writer	tt1595859,tt0080240,tt0094137,tt0119360
nm0000634	Peter Sellers	1925	1980	actor,soundtrack,writer	tt0057012,tt0075066,tt0078841,tt0072081
nm0000635	Yahoo Serious	1953	null	director,actor,writer	tt6893696,tt0156807,tt0107930,tt0096486
nm0000636	William Shakespeare	1564	1616	writer,soundtrack,miscellaneous	tt10095582,tt8632012,tt20711868,tt14297038
nm0000637	Tupac Shakur	1971	1996	soundtrack,composer,music_department	tt0118900,tt0109035,tt0107840,tt0104573
nm0000638	William Shatner	1931	null	actor,producer,writer	tt0088170,tt0092007,tt0084726,tt0098382
nm0000639	Ally Sheedy	1962	null	actress,producer,soundtrack	tt0139362,tt0091949,tt0086567,tt0088847
nm0000640	Martin Sheen	1940	null	actor,producer,soundtrack	tt1441912,tt0078788,tt0069762,tt0407887
nm0000641	Gary Sinise	1955	null	actor,producer,director	tt0117438,tt0112384,tt0109830,tt0105046
nm0000642	Marina Sirtis	1955	null	actress,producer,soundtrack	tt0120844,tt0375679,tt0111280,tt0117731
nm0000643	Tom Skerritt	1933	null	actor,director,producer	tt0078748,tt0092099,tt0098384,tt0118884
nm0000644	Helen Slater	1963	null	actress,soundtrack,writer	tt0089470,tt0091877,tt0093936,tt0088206
nm0000645	Anna Nicole Smith	1967	2007	miscellaneous,actress,producer	tt0377471,tt0110622,tt0110074,tt0758754
nm0000646	Jaclyn Smith	1945	null	actress,producer,soundtrack	tt0094791,tt5033998,tt0065374,tt0081232
nm0000647	Alan Smithee	null	null	director,actor,writer	tt0118577,tt4591238,tt0096875,tt2076794
nm0000648	Wesley Snipes	1962	null	actor,producer,soundtrack	tt0120611,tt0106697,tt0105812,tt0102526
nm0000649	Paul Sorvino	1939	2022	actor,soundtrack,director	tt0963194,tt0102803,tt0099685,tt0113987
nm0000650	Talisa Soto	1967	null	actress	tt0117723,tt0097742,tt0113855,tt0119707
nm0000651	Sissy Spacek	1949	null	actress,soundtrack,art_department	tt1454029,tt0074285,tt0247425,tt0080549
nm0000652	James Spader	1960	null	actor,producer,soundtrack	tt2395427,tt0098724,tt0402711,tt2741602
nm0000653	Brent Spiner	1949	null	actor,soundtrack,director	tt0117731,tt1628841,tt0111280,tt0253754
nm0000654	Terence Stamp	1938	null	actor,soundtrack,director	tt0165854,tt0109045,tt1385826,tt1047011
nm0000655	Eric Stoltz	1961	null	actor,producer,director	tt0094006,tt0089560,tt0110912,tt0289879
nm0000656	Madeleine Stowe	1958	null	actress,director,writer	tt0114746,tt0108122,tt0144214,tt0104691
nm0000657	David Strathairn	1949	null	actor,producer,soundtrack	tt0119488,tt0433383,tt0443272,tt0831387
nm0000658	Meryl Streep	1949	null	actress,soundtrack,producer	tt0089755,tt0458352,tt0084707,tt1322269
nm0000659	Barbra Streisand	1942	null	music_artist,soundtrack,actress	tt0062994,tt0070903,tt0117057,tt0086619
nm0000660	Tami Stronach	1972	null	actress	tt0088323,tt12623434,tt3222644,tt6557704
nm0000661	Donald Sutherland	1935	null	actor,soundtrack,producer	tt0077745,tt0414387,tt1951264,tt1951265
nm0000662	Kiefer Sutherland	1966	null	actor,producer,miscellaneous	tt0183649,tt1527186,tt0790686,tt0285331
nm0000663	Dominique Swain	1980	null	actress,producer,soundtrack	tt0426883,tt0203975,tt0119558,tt0119094
nm0000664	Patrick Swayze	1952	2009	actor,soundtrack,producer	tt0099653,tt0098206,tt0102685,tt0092890
nm0000665	D.B. Sweeney	null	null	actor,soundtrack,director	tt10128846,tt0104040,tt0106912,tt0463963
nm0000666	Lili Taylor	1967	null	actress,writer,soundtrack	tt3488298,tt0116594,tt1457767
nm0000667	David Thewlis	1963	null	actor,writer,soundtrack	tt1201607,tt0466909,tt0107653,tt2980516
nm0000668	Emma Thompson	1959	null	actress,writer,soundtrack	tt0314331,tt2140373,tt0107943,tt0114388
nm0000669	Fred Thompson	1942	2015	actor	tt0109190,tt0093640,tt0099423,tt0099810
nm0000670	Lea Thompson	1961	null	actress,director,producer	tt1758772,tt5039578,tt0088763,tt1727381
nm0000671	Billy Bob Thornton	1955	null	actor,writer,soundtrack	tt0285742,tt0117666,tt0243133,tt0120324
nm0000672	Meg Tilly	1960	null	actress,writer	tt0086154,tt0085244,tt0106452,tt0088683
nm0000673	Marisa Tomei	1964	null	actress,producer,soundtrack	tt0104952,tt1596363,tt1125849,tt0247425
nm0000674	Tamlyn Tomita	1966	null	actress	tt0411951,tt0406759,tt0091326,tt0319262
nm0000675	Jeanne Tripplehorn	1963	null	actress,soundtrack	tt0120148,tt0114898,tt0106918,tt0103772
nm0000676	Chris Tucker	1971	null	actor,soundtrack,writer	tt0120812,tt0266915,tt0119695,tt1045658
nm0000677	Robin Tunney	1972	null	actress,soundtrack	tt0112950,tt0190865,tt0146675,tt0115963
nm0000678	Kathleen Turner	1954	null	actress,producer,soundtrack	tt0111127,tt0091738,tt0082089,tt0088011
nm0000679	Deborah Kara Unger	1966	null	actress,producer,miscellaneous	tt0328538,tt0317042,tt1441912,tt0119174
nm0000680	Casper Van Dien	1968	null	actor,producer,director	tt0120201,tt0162661,tt0437086,tt0120856
nm0000681	Vince Vaughn	1970	null	producer,actor,writer	tt0452594,tt5657856,tt1078940,tt0396269
nm0000682	Paul Verhoeven	1938	null	director,producer,writer	tt3716530,tt0164052,tt0093870,tt0389557
nm0000683	Gore Vidal	1925	2012	writer,actor	tt0111732,tt0119177,tt0041061,tt0080491
nm0000684	Nana Visitor	1957	null	actress,soundtrack	tt0106145,tt0758746,tt2637276,tt0485301
nm0000685	Jon Voight	1938	null	actor,producer,writer	tt0089941,tt0118615,tt0068473,tt0064665
nm0000686	Christopher Walken	1943	null	actor,soundtrack,producer	tt0077416,tt1931533,tt0427327,tt0264464
nm0000687	J.T. Walsh	1943	1998	actor	tt0117666,tt0104257,tt0107665,tt0118771
nm0000688	Sela Ward	1956	null	actress,producer	tt0338096,tt0106977,tt2267998,tt1628841
nm0000689	Julie Warner	1965	null	actress,director,producer	tt0430634,tt0200337,tt0114694,tt0101745
nm0000690	Lesley Ann Warren	1946	null	actress,soundtrack,producer	tt0084865,tt0410975,tt0088930,tt0057950
nm0000691	John Waters	1946	null	actor,writer,director	tt0126604,tt0095270,tt0387575,tt0069089
nm0000692	Teri Weigel	1962	null	actress	tt0096889,tt0098257,tt0100114,tt0100403
nm0000693	Peter Weller	1947	null	actor,director,soundtrack	tt0100502,tt0086856,tt0093870,tt0102511
nm0000694	Wim Wenders	1945	null	director,producer,writer	tt0087884,tt0101458,tt0093191,tt0069687
nm0000695	Joanne Whalley	1961	null	actress	tt0120483,tt0090521,tt0096446,tt0090424
nm0000696	Wil Wheaton	1972	null	actor,writer,producer	tt0084649,tt0092455,tt0092005,tt0103112
nm0000697	Billy Wilder	1906	2002	writer,director,producer	tt0043014,tt0053291,tt0053604,tt0047437
nm0000698	Gene Wilder	1933	2016	actor,soundtrack,writer	tt0067992,tt0072431,tt0075223,tt0063462
nm0000699	Michael Wincott	1958	null	actor,soundtrack	tt0102798,tt0109506,tt0114558,tt0108333
nm0000700	Debra Winger	1955	null	actress,soundtrack,producer	tt1084950,tt0086425,tt0084434,tt0081696
nm0000701	Kate Winslet	1975	null	actress,producer,soundtrack	tt0338013,tt0959337,tt0120338,tt0114388
nm0000702	Reese Witherspoon	1976	null	producer,actress,soundtrack	tt0250494,tt2305051,tt0358273,tt0126886
nm0000703	BD Wong	1960	null	actor,soundtrack	tt0120762,tt0369610,tt0107290,tt4158110
nm0000704	Elijah Wood	1981	null	actor,producer,soundtrack	tt0167260,tt0167261,tt0338013,tt0120737
nm0000705	Robin Wright	1966	null	actress,producer,director	tt0217869,tt0442933,tt0109830,tt0093779
nm0000706	Michelle Yeoh	1962	null	actress,producer,writer	tt3104988,tt6710474,tt0120347,tt0190332
nm0000707	Sean Young	1959	null	actress,miscellaneous,director	tt0087182,tt0083658,tt0093640,tt1856101
nm0000708	Billy Zane	1966	null	actor,producer,soundtrack	tt0096874,tt0117331,tt0097162,tt0120338
nm0000709	Robert Zemeckis	1952	null	producer,writer,director	tt0118884,tt0088763,tt0109830,tt1907668
nm0000710	David Raksin	1912	2004	music_department,composer,soundtrack	tt0119668,tt0458339,tt0027977,tt0037008
nm0000711	Rick Baker	1950	null	make_up_department,special_effects,actor	tt0780653,tt0170016,tt0119654,tt0133152
nm0000712	Steve Cohen	null	null	assistant_director,director,miscellaneous	tt0089218,tt0143213,tt0363685,tt0098844
nm0000713	Joel Oliansky	1935	2002	writer,director,actor	tt0065278,tt0205655,tt0081900,tt0096108
nm0000714	Willie Aames	1960	null	actor,writer,director	tt0075500,tt0084945,tt0086681,tt21193618
nm0000715	Caroline Aaron	1952	null	actress,producer	tt0099487,tt1232829,tt0118954,tt0108160
nm0000716	Paula Abdul	1962	null	soundtrack,actress,miscellaneous	tt3513500,tt0358082,tt0093894
nm0000717	Kareem Abdul-Jabbar	1947	null	actor,producer,writer	tt0113097,tt11564570,tt0089155,tt0080339
nm0000718	Ian Abercrombie	1934	2012	actor,miscellaneous	tt0312098,tt0106308,tt0106220,tt1185834
nm0000719	F. Murray Abraham	1939	null	actor,soundtrack	tt0086879,tt0120844,tt0113819,tt2278388
nm0000720	Jim Abrahams	1944	null	writer,producer,director	tt0088286,tt0083466,tt0080339,tt0102059
nm0000721	Victoria Abril	1959	null	actress,soundtrack	tt0101026,tt0094822,tt0284491,tt0103030
nm0000722	Joss Ackland	1928	null	actor,soundtrack	tt0078480,tt0101452,tt0099810,tt0097733
nm0000723	Deborah Adair	1952	null	actress	tt0069658,tt0058796,tt0081856,tt0099701
nm0000724	Brooke Adams	1949	null	actress,producer,writer	tt0085407,tt0103157,tt0077405,tt0077745
nm0000725	Joey Lauren Adams	1968	null	actress,soundtrack,director	tt0142342,tt0118842,tt0106677,tt2996684
nm0000726	Maud Adams	1945	null	actress,director	tt0073631,tt0071807,tt0083178,tt0086034
nm0000727	Percy Adlon	1935	null	director,writer,producer	tt0090377,tt0095801,tt0108636,tt0082225
nm0000728	Mario Adorf	1930	null	actor,soundtrack,writer	tt0112154,tt0067315,tt0103432,tt0078875
nm0000729	Casey Affleck	1975	null	actor,producer,writer	tt6265828,tt6063090,tt4034228,tt0443680
nm0000730	John Agar	1921	2002	actor,music_department	tt0049516,tt0040369,tt0052929,tt0041841
nm0000731	Brian Aherne	1902	1986	actor,soundtrack	tt0045897,tt0030442,tt0036203,tt0057547
nm0000732	Danny Aiello	1933	2019	actor,producer,soundtrack	tt0102070,tt0093565,tt0097216,tt0110413
nm0000733	Anouk Aimée	1932	null	actress	tt0061138,tt0055093,tt0053779,tt0056801
nm0000734	Eddie Albert	1906	2005	actor,soundtrack,producer	tt0068687,tt0058808,tt0056197,tt0046250
nm0000735	Brian Aldiss	1925	2017	writer,actor	tt0099612,tt1590816,tt0432260,tt0212720
nm0000736	Robert Aldrich	1918	1983	director,assistant_director,producer	tt0061578,tt0056687,tt0071771,tt0070030
nm0000737	Jane Alexander	1939	null	actress,producer,soundtrack	tt0298130,tt0079417,tt0086429,tt0124315
nm0000738	Muhammad Ali	1942	2016	actor,soundtrack,writer	tt0056406,tt0076111,tt0077003,tt0118147
nm0000739	Debbie Allen	1950	null	producer,actress,director	tt0413573,tt0118607,tt0083412,tt0080716
nm0000740	Irwin Allen	1916	1991	writer,producer,director	tt0072308,tt0069113,tt0057798,tt0044009
nm0000741	Tim Allen	1953	null	actor,producer,miscellaneous	tt0111070,tt0177789,tt0114709,tt0101120
nm0000742	June Allyson	1917	2006	actress,soundtrack	tt0041928,tt0040876,tt0046963,tt0049578
nm0000743	Néstor Almendros	1930	1992	cinematographer,director,camera_department	tt0079417,tt0084707,tt0080453,tt0077405
nm0000744	Maria Conchita Alonso	1957	null	actress,soundtrack,producer	tt1186370,tt0100403,tt0093894,tt0092997
nm0000745	Carol Alt	1960	null	actress,producer,executive	tt0119951,tt0112829,tt1859650,tt0484207
nm0000746	Trini Alvarado	1967	null	actress,soundtrack	tt11324406,tt0116365,tt0110367,tt0100691
nm0000747	Don Ameche	1908	1993	actor,soundtrack,director	tt0107131,tt0088933,tt0086465,tt0035979
nm0000748	Leon Ames	1902	1993	actor,soundtrack	tt0037059,tt0043880,tt0066473,tt0091738
nm0000749	Mädchen Amick	1970	null	actress,director,producer	tt5420376,tt0105665,tt0098936,tt0109665
nm0000750	Jon Amiel	1948	null	director,producer,script_department	tt0112722,tt0100822,tt0298814,tt0137494
nm0000751	Suzy Amis	1962	null	actress,producer,soundtrack	tt0106350,tt0109303,tt0114814,tt0120338
nm0000752	Judith Anderson	1897	1992	actress,soundtrack	tt0088170,tt0032976,tt0051459,tt0037008
nm0000753	Juliet Anderson	1938	2010	actress,director,producer	tt0082069,tt0082707,tt0265023,tt0183031
nm0000754	Kevin Anderson	1960	null	actor,soundtrack,stunts	tt0102945,tt0413895,tt0118411,tt0093683
nm0000755	Lindsay Anderson	1923	1994	director,actor,writer	tt0083694,tt0057578,tt0063850,tt0082158
nm0000756	Loni Anderson	1945	null	actress,soundtrack	tt0086379,tt0118539,tt0120770,tt0077097
nm0000757	Melissa Sue Anderson	1962	null	actress,producer,soundtrack	tt0088513,tt0082498,tt0071007,tt0463850
nm0000758	Melody Anderson	1955	null	actress	tt0076984,tt0098369,tt0082242,tt0080745
nm0000759	Paul Thomas Anderson	1970	null	director,writer,producer	tt0272338,tt11271038,tt0118749,tt0469494
nm0000760	Richard Dean Anderson	1950	null	actor,producer,soundtrack	tt0088559,tt0929629,tt0374455,tt0118480
nm0000761	Bibi Andersson	1935	2019	actress,soundtrack	tt0050976,tt0837106,tt0060827,tt0050986
nm0000762	Anthony Andrews	1948	null	actor,producer,soundtrack	tt1504320,tt0088322,tt0084637,tt0083390
nm0000763	Dana Andrews	1909	1992	actor,soundtrack	tt0036868,tt0037691,tt0051221,tt0037008
nm0000764	André René Roussimoff	1946	1993	actor	tt0093779,tt0261495,tt0071054,tt0250824
nm0000765	Pier Angeli	1932	1971	actress,soundtrack	tt0049778,tt0044112,tt0056504,tt0058947
